title,summary,category
황성주 박사의 생식과 건강,"생식을 통한 식생활 개선으로 성인병을 치료하는 방법서. 육류 등의 포화지방이나 콜레스테롤, 설탕을 많이함유하고 있는 요즘 음식은 건강을 해친다. 일반식에 비해 에너지 효율이 5,6배 높은 생식를 먹고 병이 나 은 임상결과를 다양한 사례와 함께 실었다.",Home_Cook_Beauty
"아름다운 청년, 대니 서의 집","환경 운동가 대니 서가 공개하는 환경 친화적인 집 꾸미기. 이 책은 교외에 위치한 부모님의 평범한 주택을 환경 친화적이고 세련된 공간으로 개조한 3개월 간의 과정을 사진과 함께 기록했다. 젊은 환경 운동가의 유쾌한 통찰과 창의적인 아이디어를 엿볼 수 있다.

가구를 버리거나 개조하고, 마루나 벽 같은 내장재를 시공하고, 침실이나 거실, 욕실을 꾸미고, 정원을 가꾸며, 집을 청소하고 관리하는, 즉 집을 위한 모든 행위들을 ‘환경 보호’와 ‘세련된 스타일’이라는 두 가지의 원칙에 따라 꾸몄다.

이 외에도 나뭇잎이나 나뭇가지 같은 것을 이용해 실내 장식품 만들기, 간단한 클립으로 커튼 만들기, 천연 세제 만드는 법, 중고 가구 고르는 요령 등, 실제 체험과 노하우가 담긴 저자의 아이디어들이 실려 있다.",Home_Cook_Beauty
여왕 패션 종이인형,"다양한 업적을 가진 세계의 여왕 패션을 직접 입혀보고, 아름답고 다양한 드레스와 왕관을 쓴 품위 있는 여왕을 경험해볼 수 있는 종이인형이다. 자르고 붙이면 뒷모습을 가진 멋진 여왕이 탄생한다. 여왕의 앞모습 뿐만 아니라 뒷모습까지 볼 수 있는 양면 입체 종이인형으로서 인형 받침대를 이용해서 세워 두면 멋진 인테리어 소품이 된다. 공식적인 드레스 외에도 현대적인 모습의 헤어와 드레스로 새롭게 꾸밀 수도 있다.",Home_Cook_Beauty
더 포스터 북 by 이미소,"직관적인 제목처럼 권마다 포스터 작품 10점으로 가득 채워진 도서이다. 그러나 일반 종이에 평범하게 인쇄를 한 것이 아니라 작품마다 가지고 있는 고유한 컨셉과 진정한 가치를 느낄 수 있도록 그 색감을 잘 드러낼 수 있는 종이, 질감을 온전히 표현해주는 종이 등 작품 성격에 맞게 수 번의 인쇄 테스트를 통해 각 권마다 다르게 선택했다. 이번 포스터 북에서는 일러스트레이터 이미소의 그림으로 만난다.",Home_Cook_Beauty
가죽 소품,"가죽공예의 기본 테크닉에서부터 명함 지갑, 동전 지갑, 물림쇠 지갑, 파우치, 안경집 같은 소품 만들기, 모양과 크기를 달리한 여러 가지 토트백, 클러치백, 두루주머니백, 숄더백 륙색에 이르기까지 20종류의 가죽 소품 만들기가 소개된다.

모든 작품의 실물 크기 형지도 포함되어 있어 그대로 따라 해도, 응용해도 디테일이 살아있는 나만의 개성 있는 작품을 만들 수 있다. 40년 넘게 가방 만들기에 전념한 가방 장인의 기술과 노하우를 한눈에 배울 수 있어 가죽공예에 관심이 있는 초보자는 물론, 조금이나마 접해본 사람 모두를 만족시킬 수 있는 내용으로 구성했다.",Home_Cook_Beauty
ONION,"그동안 밥상 위에서 부재료로만 쓰이던 양파를 당당한 주연으로 만들어 ‘양파를 이용한 한 상’을 차릴 수 있도록 구성했다. 본격적으로 음식을 만들기 전에 양파의 유래나 영양, 효능, 종류는 물론 양파 구입법, 보관법, 손질법, 양파와 어울리는 재료, 비밀레시피 등 기본적인 정보를 소개해 재료에 대한 이해도를 높였다. 본격적으로 레시피를 살펴보면 한 그릇 음식 / 반찬 / 간식&브런치 / 저장요리&소스, 총 4개의 파트로 나눠 다양한 조리방법을 사용해 ‘양파’ 하나만으로도 근사한 밥상을 차릴 수 있도록 도와준다.",Home_Cook_Beauty
사랑스럽고 귀여운 프랑스 자수 모티프,"일본의 인기 자수 작가 9인이 저마다의 개성으로 표현한 소녀, 고양이, 과일, 꽃, 도형 등 심플하면서 귀여운 자수 도안 87개가 수록되어 있다. 자수를 전혀 해본 적 없는 초보자도 책에서 설명하고 있는 기본 스티치 15가지만 익히면 쉽게 작품을 따라 할 수 있도록 구성되었다. 실물 크기 도안과 사용한 자수 기법, 실의 색상 등이 자세히 안내되어 있고, 자수를 하기 전에 알아두어야 할 기본 테크닉과 필요한 도구 등도 설명하고 있다. 브로치나 헤어 액세서리 등을 만드는 방법도 수록하고 있어 다양한 작품을 만들어볼 수 있다.",Home_Cook_Beauty
2017 프리미엄 가계부,특별한 설명 없이도 누구나 쉽게 시작할 수 있다. 모든 분들의 꿈을 쉽게 이룰 수 있도록 사용하기 쉬운 양식과 쓰기 편한 넓은 면적을 가진 최고급 가계부이다. 자신의 지출을 쉽게 파악하여 새는 돈을 막고 절약하는 힘을 키워나갈 수 있다.,Home_Cook_Beauty
[세트] 새로운 코바늘 손뜨개의 기초 + 코바늘 손뜨개 무엇이든 Q&A 세트 - 전2권,"<쉽게 배우는 새로운 코바늘 손뜨개의 기초> + <코바늘 손뜨개 무엇이든 Q&A>를 세트로 묶었다. 친절한 일러스트와 사진, 자세한 설명과 함께 최신 정보와 작품을 업데이트하여 수예 입문자들이 보다 쉽게 코바늘 손뜨개를 시작할 수 있도록 했다. 처음 코바늘뜨기를 시작하는 사람이라면 반드시 소장해야 할 코바늘 손뜨개의 결정판이다.

2003년에 출간되어 아직까지도 많은 호평을 받고 있는 일본보그사의 <코바늘 손뜨개 무엇이든 Q&A>에는 코바늘 손뜨개의 기본 기법부터 게이지 계산 방법, 기호도 · 뜨개 기호 보는 법, 기초코 뜨기, 실을 바꾸는 법, 코 줄이기 · 늘리기, 꿰매기 · 잇기, 테두리 뜨기 등에 이르기까지 코바늘 손뜨개에서 가장 궁금해 하는 31가지 질문을 Q&A 형식으로 엮었다.",Home_Cook_Beauty
서른부터 달라지는 스페셜 스킨케어,"화장품 칼럼니스트 이나경의 22년 노하우를 담은 책이다. 피부에 대한 기초지식을 쌓고 화장품의 어떤 성분들이 피부에 어떻게 작용하는지 이해한다면, 자신감 있게 내게 맞는 화장품을 골라 피부를 관리할 수 있다.

화장품에 대한 기초지식은 피부 미용의 필수 자산이 된다. 화장품이 어떤 성분으로 구성되어 있는지, 실제로 우리 피부에 기능하는 유효성분은 어떤 것인지, 천연성분과 화학성분은 어떤 차이가 있는지 등에 대해 알아본다. 또한, 과대평가되고 있는 토너의 역할에서부터 에센스에 대한 신화까지 화장품 회사가 마케팅을 위해 만들어낸 화장품에 대한 허상을 걷어내고 진실을 밝힌다.",Home_Cook_Beauty
