title,summary
성경신학 스터디 바이블,"성경에 계시된 하나님의 구원 계획이 예수 그리스도에게서 어떻게 성취되는가에 초점을 맞추는 새로운 스터디 바이블이다. 성경 전체를 하나님의 구원 역사의 큰 흐름으로 이해하면서, 성경 속 수많은 이야기와 다양한 주제가 구원 계획의 성취에 어떻게 기여하는지 분명하게 드러낸다. 독자들은 이 책의 안내에 따라 성경의 광활한 숲을 조망하는 동시에 나무 하나하나를 자세히 관찰할 수 있다.

책임편집자인 D. A. 카슨을 비롯해 더글러스 J. 무, T. D. 알렉산더, 리처드 S. 헤스 등 65명의 세계적인 명성을 지닌 성경신학자들이 기획.집필했으며, 최신 신학의 연구 성과를 충실히 반영했다. 핵심을 짚어 내는 명쾌하고 간결한 문체, 각고의 노력과 헌신이 담긴 이들의 연구 결과는 권위 있는 성경 지침서이자 스터디 바이블의 결정판으로 독자들을 찾아갈 것이다."
아무도 사랑하고 싶지 않던 밤,"40만 부 베스트셀러를 기록한 <게으름> 외에도, <깊이 읽는 주기도문> <신학공부, 나는 이렇게 해왔다> 등 굵직한 저작으로 기독교 출판에 한 획을 그은 김남준 목사의 첫 자전적 에세이. 그가 오랫동안 사숙했던 철학자이자 신학자인 아우구스티누스가 남긴 글 중에서 그의 인생을 바꾼 여덟 개의 문장을 골라, 그간 말하지 않았던 자신의 내밀한 이야기, 그 사랑하고 고뇌했던 시간들과 함께 엮어냈다.

예기치 않은 인생의 순간에 마주친 문장과 깨달음을 담은 이 책은, 어떻게 한 인간이 죽고, 다시 태어나고, 살아가는지를 보여주는 고백의 기록이기도 하다. 아무도 사랑하고 싶지 않던 밤, 홀로 있어 외롭고 두려운 당신에게 이 책을 전한다. 작은 촛불을 밝히는 마음으로."
반야심경 마음공부,"최고의 불경 연구가이자 30년 이상 부처 사상을 대중의 눈높이에서 소개해 온 페이융 교수가, 불교 경전 가운데 가장 널리 알려지고 많이 읽히는 ‘반야심경’을 들려준다. 반야심경은 600권에 달하는 ‘반야바라밀경’의 핵심을 단 260자로 응축해 놓은 경전으로, 가장 짧으면서도 부처의 심오한 지혜를 있는 그대로 담고 있어 많은 이들에게 사랑받아 왔다.

깨달음에 머무르지 않고, 우리 삶에 부처의 가르침을 어떻게 적용해 갈 것인지 실천 방안을 구체적으로 제시하고, 반야심경 속에 담긴 부처의 지혜를 보다 깊이, 보다 쉽게 이해할 수 있도록 비유와 인용을 활용해 묵상의 폭을 넓혀 나간다."
덮은 우물,"2천 년 전 수가성 여인을 우물가로 찾아오신 예수님이 오늘날 다시 나이롱 목사를 덮은 우물가로 찾아오신 기적을 담고 있다. 여름날에 차가운 생수 같은 주님과 나누는, 폭풍우 속의 소나기 같은 역동하는 사랑의 노래들을 써 내려가고 있다."
봉한 샘,신실하게 주님을 사랑하는 케냐 선교사의 영적 다이어리로 아프리카에서 놀랍게 변화되고 있는 삶의 고백이다. 좁은 길로 향하는 양떼의 발자취이며 신부가 걸어야 할 지도를 그리고 있다. 가을날에 성숙 되어 여물어 가는 타작마당에서 주님과 나누는 추수 밭의 노래들이 기록된 영서이다.
잠근 동산,"저자는 대학 졸업 후 도미하여 26세의 나이에 성령체험을 하고 많은 기적과 은사를 체험한다. 그리고 30여 년간 사역자의 길을 걸으면서 예수님과의 만남의 체험, 영적으로 나눈 대화의 내용, 주님의 인도하심 속에 경험했던 사역의 내용 등을 간증의 형식으로 담고 있다."
스스로 행복하라,"《스스로 행복하라》 10만 부 기념 양장 에디션. 코로나19 시대가 본격적으로 시작된 2020년 초, 법정 스님 열반 10주기에 맞춰 출간된 《스스로 행복하라》는 우리의 지치고 흐트러진 마음을 다잡아 주며 고난을 극복할 용기를 주었다. 이 책은 출간 즉시 베스트셀러에 올랐으며 주요 서점 및 독자 선정 올해의 책으로 꼽히는 등 많은 사랑을 받았다.

《스스로 행복하라》는 법정 스님이 남긴 글들 중 인생을 행복하게 살아가는 데 도움이 되는 글을 가려 뽑아 한 권의 책으로 묶은 것이다. 1장 ‘행복’에는 인생의 가치를 어디에 두어야 할지에 대한 법정 스님의 가르침을 담았고, 2장 ‘자연’에는 자연과 함께하는 충만한 삶을 설파하는 글들을 담았다. 3장 ‘책’에는 법정 스님이 《어린 왕자》, 《모모》, 《희랍인 조르바》 등 책에서 발견한 지혜를 전하며, 4장 ‘나눔’에는 “사랑한다는 것은 곧 주는 일이요, 나누는 일이다. 주면 줄수록, 나누면 나눌수록 넉넉하고 풍성해지는 마음이다”라는 나눔의 메시지가 담겨 있다.

고된 일상 속에 갇혀 허우적거리는 우리에게 법정 스님은 이런 질문을 던진다. “우리는 가진 것만큼 행복한가?” 몸소 무소유의 삶을 실천하며 삶의 진리와 철학이 담긴 글로 우리에게 깊은 울림을 줬던 법정 스님. 집착에 사로잡혀 어떻게 살아야 할지 갈피를 못 잡고 있는 우리는 법정 스님이 남긴 글을 통해 인간다운 삶, 가치 있는 삶을 위한 지혜를 얻을 수 있다."
난생처음 성경공부 : 마태복음,"저자는 10여 년 전 하나님을 믿게 된 후 매일 15-20시간 말씀을 읽고 연구하며 성경과 지독한 사랑에 빠졌다. 이후 성경을 가르치는 말씀 사역자이자 크리스천 사업가, 세 아들의 엄마로서 하나님나라 비전을 이뤄갔다. 하나님께서 또 다른 통로인 유튜브를 통해 말씀을 전하기 원하신다는 마음을 받고 2019년부터 지금까지 400개(신구약 포함)가 넘는 성경 묵상 영상을 올리고 있다.

그중 신약을 여는 ‘마태복음’을 심화 보충하여 저자 특유의 친절하고 세밀한 문체로 ‘난생처음’ 성경을 읽는 사람도 이해하기 쉽게 풀어놓았다. 또한 건강한 신학적 배경에 토대를 둔 심도 있고 풍성한 해석을 담았으며, 그것을 개개인의 삶의 현장에 어떻게 적용할지 자신의 진솔한 간증를 통해 독자에게 전달한다. 성경공부를 한 번도 접하지 못했거나 혼자 공부하며 도움이 필요한 이들에게 유용한 자습서이다."
잃어버린 기도의 비밀,"UN, 〈포춘〉 500대 기업, 주요 대학들이 찾는 과학자이자 영성가 그렉 브레이든의 대표작. 수많은 아마존 독자가 ‘인생 책’으로 꼽은 글로벌 스테디셀러 《잃어버린 기도의 비밀》이 새로운 번역과 편집으로 국내 독자들을 만난다.

인류의 95%가 우주를 창조한 신비로운 힘의 존재를 믿고 그것에 ‘말을 걸기’ 위해 기도를 한다. 우리는 소망을 말하며 간절히, 끊임없이 기도해왔다. 그럼에도 불구하고, 왜 그렇게 많은 기도가 이루어지지 않았을까? 무엇이 기도이고 무엇이 기도가 아닐까?

아메리칸인디언의 지혜부터 티베트불교까지, 양자물리학부터 프랙털기하학까지, 종교와 과학의 경계를 허문 20여 년 탐구로 밝혀낸 기도의 모든 것. 기도를 둘러싼 의문에 대한 가장 간단하고도 실증적인 대답. 우리가 잃어버린 기도의 핵심과 반드시 응답받는 기도의 비결이 이 책에 담겼다."
성경과 함께하는 기독교 수어,"성경 속 지명, 인물 등 기독교 수어를 누구나 이해하기 쉽게 성경 흐름 순으로 재미있고 흥미진진하게 사진, 동영상, 지도, 찬양 등으로 다양하고 풍성하게 담은 수어 책이다."
