title,summary
주토피아 아트 컬러링북,"차별과 편견, 사회적 갈등을 애니메이션 안에 녹여 국내 관객들의 마음을 사로잡았던 [주토피아] 속 환상의 콤비, 주디 홉스와 닉 와일드를 더욱 특별하게 만나는 주토피아 아트 컬러링북이 탄생했다. 사랑스러운 주디와 유쾌한 닉의 완벽한 케미로 [주토피아]에 푹 빠져버린 국내 팬들을 위해, 디즈니 코리아와 손잡고 전 세계에서 한국에서만 단독으로 출시된 아트 컬러링북이다.

이 아트 컬러링북에는 애니메이션과는 다른 생동감을 느낄 수 있는 디즈니 스튜디오 아티스트들이 그린 주디와 닉의 컬러풀한 일러스트레이션, 내 손으로 자유롭게 컬러링해 다채롭게 완성할 수 있는 라인아트, 소중한 사람에게 마음을 담아 선물할 수 있는 엽서 8종이 포함되어 [주토피아] 팬들을 더욱 만족시켜줄 것이다."
쏠쏘라의 뻔뻔한 손그림 일러스트,"네이버 파워블로거 쏠쏘라의 예쁘고 귀여운 캐릭터 그리기 비법을 한 권에 담았다. 그 동안 블로그를 통해 접했던 쏠쏘라의 그림들을 쉽게 따라해 볼 수 있도록 구성했다. 무엇보다 손그림을 처음 그려보는 초보자들에게 친절하고 자세한 설명을 하고 있어서 초등학생부터 일반인까지 손그림에 도전해 볼 수 있다.

구성을 살펴보면 1장에서는 사물 그리기, 2장에서는 맛있는 음식 그리기, 3장에서는 귀여운 동물 캐릭터를 쉽게 그릴 수 있도록 하였으며, 4장에서는 인물 캐릭터 그리는 방법을 상세하게 설명하여 캐릭터 기본형부터 상상력이 더해진 동화 속 인물 캐릭터, 감정표현 그리기, 일상 생활 속 캐릭터 그리기 비법이 담겨 있다.

5장은 특별한 기념일을 남길 수 있도록 실용적인 그림들로 꾸며놓았다. 마지막 장에는 손그림 활용하기 팁을 통해 다이어리 꾸미기, 스마트폰 배경화면 꾸미기, 블로그 배경화면과 타이틀 꾸미기를 활용할 수 있게 했다."
좋아 보이는 것들의 비밀 편집디자인,"편집디자인을 하기 위한 이론, 툴 테크닉, 실무 프로젝트 3가지를 핵심 법칙 10가지로 익혀본다. 실무 유형별로 법칙을 나누었기 때문에 더욱 쉽고 유용하고 필수적인 정보들을 담았으며, 실제 프로젝트를 분석한 분해도를 보면서 정확한 디자인 의도 파악 뿐 아니라 실무에서만 익힐 수 있는 알짜 노하우까지 습득할 수 있다."
[세트] 윤희에게 시나리오 + 메이킹북 세트 - 전2권,"영화 '윤희에게'는 한국에 전례가 없는 중년 여성 퀴어 영화로, 우연히 한 통의 편지를 받은 윤희(김희애)가 잊고 지냈던 첫사랑의 기억을 찾아 설원이 펼쳐진 여행지로 떠나는 이야기이다. 제24회 부산국제영화제에서 폐막을 장식하며 영화가 전하는 메시지와 감독의 섬세한 연출력, 주연 배우들의 열연으로 호평을 얻었다.

관객들은 영화를 보며 오직 딸 새봄(김소혜)에 대한 책임감 하나로 삶을 버텨온 윤희가 점차 용기를 내고 상처를 치유하고, 더 나아가 딸에게 용기를 물려줄 수 있는 단단한 사람이 되어가는 여정에 함께한다. 소란스럽지 않고 단정하며 구석구석 사려 깊은 이 이야기가 세상의 많은 윤희를 응원하는, ‘윤희’ 열풍을 불러일으키기도 했다.

<윤희에게 시나리오>에는 편집 과정에서 잘려나간 장면까지 모두 담긴 무삭제 시나리오와 영화 속 윤희와 쥰이 주고받은 편지가 시나리오 뒤에 별도로 구성되어 있다. 영화를 본 사람이라면 영화와 비교하며 또 다른 재미를 느낄 수 있고, 영화를 보지 않은 사람이라도 문학적으로 쓰인 시나리오에 오롯이 집중해 읽을 수 있다.

영화 저널리스트 이은선이 진행한 임대형 감독 인터뷰에서는 각본을 쓰고 연출하는 과정에서의 감독의 고뇌와 영화 속 이야기들을 다루고 있다. 또한 ‘편지’가 중요한 모티프인 영화와 어울리게 서면으로 진행된 나카무라 유코 배우 인터뷰에서는 이 영화와 인물에 대한 배우의 남다른 애정을 느껴볼 수 있다."
우쿨소년의 O.S.T. 우쿨렐레,우쿨소년의 여섯 번째 악보집 <우쿨소년의 OST 우쿨렐레>는 국내외 영화와 드라마의 OST 곡들을 엄선하여 우쿨렐레 악보로 옮긴 연주곡이다. 연습의 편의를 위해 각 곡의 모범 연주를 QR코드로 수록하였다.
권력의 미학,"미술 작품이 제작되고, 보여지고, 이야기되는 과정을 통해 예술이 작동하는 정치, 사회, 문화적 동기와 그 작동 메커니즘을 다층적으로 분석한 캐롤 던컨의 주요 논문과 비평문을 모은 책이다. 던컨은 1960년대와 70년대의 진보적 운동과 페미니즘의 부활, 그리고 동성애 인권운동에 관한 연구와 1970년대 초반에 일어난 미술사와 비평의 만남 및 좌파와 페미니즘의 조합에 관한 연구를 바탕으로 미술작품이 정치적, 사회적, 문화적 힘의 상호작용이 만들어낸 결과물일 뿐 아니라 상호작용의 구성요소이기도 하다는 점을 밝혀냈다.

그리고 그 결과물들, 즉 18~19세기 프랑스 미술에 투영된 가부장제와 이를 통해 생산된 여성 이미지에 대한 글부터 20세기 초반의 유럽과 미국 전위미술에 나타난 여성의 성적 대상화, 이에 더해 그런 여성의 성적 대상화가 미술관이라는 공간을 통해 일종의 공적 의례가 된 상황을 담은 글까지, 이 책에 실린 글들은 이미 미술사는 물론 미술비평의 고전으로 추앙받고 있다."
보스토크 VOSTOK 매거진 16호,"보스토크 매거진 16호. SF가 지닌 광활하고 과격한 상상력과 사진이 어떻게 만날 수 있는지에 대한 보스토크 매거진의 작은 실험이다. 소설과 더불어 SF 이미지들에 대한 작가 듀나의 비평적 에세이, 보스토크 매거진이 큐레이션한 국내외 사진가들의 다채롭고 풍부한 화보가 함께 실려 있다."
다카페 일기 2,"가족의 일상을 담은 따뜻한 사진으로 '일본 블로그 대상 2006' 사진대상을 수상한 모리 유지의 블로그를 책으로 엮은 <다카페 일기> 1권에 이어 '다카페 일기' 두 번째 이야기가 출간되었다. 가족과 함께하는 다정한 순간들을 따뜻한 시선으로 포착한 모리퐁(아빠)의 알콩달콩 사진 일기로, 2007년 1월부터 2009년 1월까지 24개월간의 기록을 담고 있다.

200여 장의 사진에서는 벌써 초등학교 4학년이 된 바다와, 꼬맹이에서 이제는 파워 넘치는 유치원생이 되어 더욱 짓궂어진 하늘을 만날 수 있다. 그리고 애견 와쿠친과 새로운 견공 식구 바셋 하운드 단고가 등장해 재롱을 부린다. 격투기 마니아 다짱(엄마)이 모리퐁(아빠)의 재미있고 유쾌한 사진을 글로 그대로 옮겨놓았다."
일러스트 연습장 인물그리기,"'일러스트 연습장'의 인물 그리기 편으로, '일러스트 연습장' 시리즈는 언제 어디라도 연필 한 자루만 있으면 그림을 그릴 수 있다. 이 책은 세상 속 사람들의 이야기와 함께 재미있는 인물 그리기를 소개한다. 각 장의 특징을 잘 살펴보고 사람들의 재미있는 이야기를 연습장에 담을 수 있게 구성했다.

책을 흉내내어 따라 그리다보면 자연스레 그림 그리는 법을 배울 수 있는 다양한 일러스트가 담겨 있다. 'Let's draw!'부분을 통해 낙서하듯이 직접 그려놓을 수 있으며, 권 말에 'People Draw again'을 마련하여 앞서 그렸던 인물들의 특징을 정리하여 반복 연습할 수 있도록 하였다."
역사의 색,"현재 우리 삶에 직간접적으로 영향을 미치는 현대사, 1850년부터 1960년까지 존재했던 가장 의미 있는 현장을 200장의 사진으로 압축했다. 빅토리아 여왕의 치세와 제국의 등장과 몰락, 크고 작은 전쟁, 우리 시대의 개막까지 100년 넘는 시간이 농밀하고 생생하게 담겨있다. 그 중심에는 언제나 인간이 있었고 그들의 표정이 있었다.

미술가 마리나 아마랄이 역사상 가장 중요한 흑백사진을 철저한 고증 끝에 채색하고 복원하여 진짜의 컬러를 보여주고, 역사가 댄 존스가 전후 맥락을 짧은 글로 명쾌하게 설명하였기에 우리는 마치 그 역사적 현장에 함께한 듯 당시를 기억하게 된다."
