title,summary
종교다원주의 사회속의 기독교 선교,21세기 한국 교회는 위기의 시기를 맞고 있다. 50-60년대 교회 개척의 시대에서 70-80년대 교회 부흥과 성장의 시대를 거쳐 90-2000년대 교회 정체와 갱신의 시대를 보내었다. 이제 향후 21세기에는 한국 교회가 교회의 생존을 위해 선교적 교회로 변혁되지 않으면 살아갈 수 없는 시대를 맞이하고 있다. 이러한 시대에 한국 교회는 지난 2000년 동안 축적된 서구 기독교의 역사와 자료에서만 그 해결책을 찾기 위하여 선교 전략을 세워야 할 것이다.
당신의 영성 면역력을 점검하라,이 땅에서의 육적인 우리의 삶이 강조되다 보니 영혼에 좋은 음식들이 마구 버려지는 시대를 살아가고 있는 안타까운 그리스도인들을 위해 쓰인 이구영 목사님의 두 번째 책이다. 모두 언젠가는 하나님 앞에 설 그리스도인들의 풍성한 영적 행복의 삶을 위해서 필요한 영양소들을 소개하고 있다.
요한계시록 제2권,"솔로몬 성경공부 시리즈. 이 책을 통해 ""일곱 봉인을 떼시는 어린양,"" ""인장으로 표시받는 환란 성도들,"" ""일곱 나팔의 재앙?,"" ""힘센 천사와 일곱 천둥,"" ""환란 시대의 두 증인 모세와 엘리야,"" “일곱 머리와 열 뿔을 가진 용 사탄""에 대한 성경 지식을 확실히 이해할 수 있다."
[기획성경/핑크] 성서원 슬림 만나성경 개역개정 새찬송가 - 특미니.색인,"만나 성경은 성경,찬송의 명가인 성서원의 대표 성경으로서 성서원 베스트셀러 1위 성경이다. 모두 15개의 탁월한 콘텐츠로 구성되어, 성경을 읽는 독자들은 각각의 콘텐츠와 더불어 재밌고 흥미진진하게 성경의 진리를 깨닫고 배워 나갈 수 있다. 또한 성서원에서 출간된 만나성경은 최고급 표지를 사용한 고급스러운 스타일로, 명품을 선호하는 젊은 세대의 감각에 맞게 한결 세련된 디자인으로 출시되었다."
하나님은 창조주인가,"서양문명 근간에 새겨진 신의 흔적을 따라가며 표류하는 인류의 오늘과 내일을 탐색하는 <신: 인문학으로 읽는 하나님과 서양문명 이야기> 분권판 2권. 독일 유학 시절부터 시작된 저자의 오랜 공부와 고민의 결실이자 오늘날 인류가 당면한 문제들에 해답의 실마리를 제시하고자 하는 애정 어린 노력인 동시에, 배타성과 폭력성 등 ‘반기독교적 유산’을 따끔하게 지적하며 기독교의 회복을 촉구하는 예언자적 외침이기도 하다.

무엇보다 고상한 전문용어로 선포하는 일방적 글쓰기가 아닌, 질문과 반론을 허용하는 친근하고 생동하는 일상용어로 쓰였다는 점은 이 책의 가장 큰 장점이다. 이번 분권판은 새로운 표지와 디자인만 아니라 판형을 무선으로 바꾸어 휴대성을 높이고 필요한 부분만 골라서 읽을 수 있도록 편이성도 고려했다. 내용에서도 전체적으로 수정 보완을 했고 특히 4권 마지막 부분은 새로 썼다."
Gospel Vaccine 드림스쿨(취학부) 인도자 지침서,"바이러스의 증상을 극복하기 위해서는 매 순간 복음을 콘택트해야 한다. 일상의 찰나 속에서 하나님의 전지전능하심과 위대하심, 하나님의 한없는 영광과 하나님의 영원한 나라를 누리며 살아야 한다. 특별히, 이번 VBS는 우리 다음세대의 영적 선별 진료소가 될 것이다."
Gospel Vaccine 드림스쿨(취학부) 교재,"바이러스의 증상을 극복하기 위해서는 매 순간 복음을 콘택트해야 한다. 일상의 찰나 속에서 하나님의 전지전능하심과 위대하심, 하나님의 한없는 영광과 하나님의 영원한 나라를 누리며 살아야 한다. 특별히, 이번 VBS는 우리 다음세대의 영적 선별 진료소가 될 것이다."
목회 수필,저자는 앵무새처럼 말하는 목사가 아니라 자신을 행동하는 목사로 이해하고 있다. 이러한 자기 이해가 예수를 닮아가려는 그의 구도 자세에서 나왔다는 것은 책을 읽어 내려가는 내내 독자에게 다가올 듯하다. 또한 저자는 자신의 언어로 목회수필이라는 새로운 장르를 개척해냈다. 복음이란 무엇인지 삶을 통해 이해하려 애쓰고 진심으로 그 말씀을 섬기려 노력한 어느 이름 없는 시골 목사의 세상 이야기다. 목사에 대한 스테레오타입 선입견을 흔들어 줄 책이다.
새소식 공과 21-2 중고등부 교사용,"한국 교회교육 현장에 신선함과 복음의 혁신을 일으킨 한국어린이전도협회에서 출간한 새소식공과는 공과와 설교, 특별 프로그램이 하나로 구성되어 유치부용, 저학년용, 고학년용 공과를 같은 본문과 같은 주제로 편제하여 편찬하였다."
[브라운] 우리말성경 슬림 DKV2105 - 중(中).단본.색인,"성경 본문은 두란노에서 발행한 우리말성경(5판)이다. 본문의 이해를 돕기 위해 ‘깊이 알기’를 실었으며, 고급스러운 디자인으로 새신자 선물용에 적합하다."
