title,summary
"일목균형표 1,2권 세트 (양장, 대형 별지 차트 포함) - 전2권","1936년 일목산인(본명: 호소다 고이치細田悟一)에 의해 창시된 이래 현재까지 시세의 귀추를 일목요연하게 예측해주는 분석도구로서 널리 인정받아 온 원전 일목균형표의 국내 최초 완역 출간본. 내용적으로도 일목산인의 정신을 완벽하게 담고 있을 뿐 아니라 형태적으로도 원전의 멋을 최대한 살려냈다. 일목산인이 직접 그린 대형 차트를 별지로 수록하고 있으며, 양장본 본책에 고급스러운 외부 케이스까지 제작하여 소장품으로서의 가치도 높다.



부록 : 대형 별지 차트"
그룹의 성장을 위한 방법 시스템에 달려있다,"네트워크 사업을 하는 이유는 누구나 재정적 자유 즉 돈, 시간으로부터의 자유일 것이다. 누구든지 돈과 시간으로부터의 자유 구체적으로 말하면 돈이 안정적으로 꾸준히 나오는 인세소득을 원할 것이다. 이를 위한 성공적인 시스템이 있는데, 뭐니뭐니 해도 그것은 바로 성공 시스템이다."
성장과 혁신,"‘파괴적 혁신’ 이론의 주창자이자 세계적인 경영학의 대가 클레이튼 크리스텐슨이 『혁신기업의 딜레마』에 이어 세상에 내놓은 파괴적 혁신 솔루션. 이 책은 기업들의 무수한 혁신 노력이 새로운 성장동력을 낳지 못한 채, 대부분의 경우 혼란과 좌절을 초래하거나 기존의 비즈니스를 유지-보수하는 수준의 결과를 낳게 되는 이유를 명쾌하게 해명하고 있다.

크리스텐슨은 존속적 혁신-파괴적 혁신이라는 패러다임을 통해, 기업들이 현실에서는 존속적 혁신에 얽매이면서도 심정적으로는 근본적이고 파괴적인 혁신을 추구하는 괴리가 혁신 노력을 좌초시키고 조직을 멍들게 한다는 점을 날카롭게 해명한다.

저자는 10년 후를 먹여 살릴 차세대 성장동력은, 기존의 조직 및 프로세스와 완전히 독립된 별도의 혁신 단위로부터 태동한다는 점을 무수한 사례를 통해 밝히고 있다. 기존의 조직과 인력들은 존속적 혁신에 매진케 하고, 미래를 준비하는 파괴적 혁신은 공간-재정-의사결정 등 모든 면에서 완벽하게 분리된 혁신팀을 통해 추진하라는 것이다.

그리고 이를 위해 CEO는 기존의 프로세스와 정보에 기대지 말고, 경영을 배우는 초심으로 돌아가 노련한 사냥꾼 혹은 프론티어의 마인드로 혁신팀을 관리하라고 제안한다. 특히 저자는 혁신의 공식은 없다고 단언한다. 진정한 혁신은 완전히 새로운 것이기에 매순간 CEO의 판단과 결단에 따라 성패가 좌우된다는 것이다. 이 책의 백미는 책의 말미에 제시된 CEO를 위한 '14가지 판단 지침'이다."
경제학의 모험,"경제학의 권위가 무너진 시대, 해결해야 할 경제 문제가 더 다양해지고 복잡해진 시대. 경제학은 과연 필요한가? 어떻게 경제학을 공부해야 하는가? 이 책은 경제학은 여전히 중요하다고, 그러나 경제학을 공부하는 방식은 바뀌어야 한다고 답한다.

같은 잘못을 반복하지 않기 위해서라도 과거 경제학자들의 통찰은 여전히 살펴볼 가치가 있다. 그러나 경제학의 역사를 스미스에서 주류 경제학까지 좁고 단조롭게 가르치던 관행은 이제 넘어서야 한다. 경제 문제도, 경제학도 그보다 깊고 넓기 때문이다.

저자는 간결하면서도 유머러스한 필체로 독자들을 다채로운 경제학의 세계로 초대한다. 스미스, 마르크스, 케인스와 같은 거장에서부터 아서 루이스나 윌리엄 비크리 같이 잘 알려지지 않은 경제학자까지, 수요.공급.성장 같은 전통적인 주제에서부터 빈곤.불평등.페미니즘 같이 최근 주목받기 시작한 주제까지 폭넓게 다룬다."
핵심정리 비즈니스 프레임워크 69,"경영이나 마케팅에 관심이 있다면 한 번쯤 SWOT 분석이나 파레토 법칙, 욕구단계이론 등의 기법을 들어 본 적이 있을 것이다. 이러한 기법들은 새로운 전략을 수립하기 위해 회사의 현재 상태를 점검한다거나 판매를 늘리기 위해 소비자의 구매 행태나 심리 등을 파악하고자 할 때 유용한 기초 정보와 틀을 제공한다.

이 책은 한 세기 전에 나온 고전적 기법부터 최근에 유행하는 기법에 이르기까지 실로 다양한 비즈니스 기법을 핵심 내용만 파악하기 쉽게 일목요연하게 정리한 책이다. 사실 어떤 문제를 풀기 위해 아무 단서 없이 처음부터 독자적으로 생각하기란 보통 일이 아니다. 이 경우 기존의 문제 해결 방식을 알고 있으면 쉽게 문제를 분석하고 답을 구할 수 있다. 이 책에서 문제 해결을 위해 사용하는 기본 개념 구조를 바로 프레임워크라고 한다.

이 책에서는 비즈니스에 자주 쓰이는 약 200개의 프레임워크를 69개 항목으로 분류해 경영 전략 수립부터 마케팅, 조직 관리 기법까지 한눈에 파악할 수 있게 그림과 도표로 작성했다. 이러한 기법을 이미 대강 파악하고 있는 상급자는 복습과 참고용으로 활용할 수 있으며, 초보자는 널리 알려진 다양한 비즈니스 기법을 알기 쉽게 설명하므로 입문서로 활용하기에 적합하다."
빚부터 갚아라,"당신에게 반드시 필요한 똑똑한 돈 관리법. 누구든 쉽게 자신의 재무상태를 점검하고, 가장 효율적인 순서와 방법으로 목표 예산을 세울 수 있도록 저자가 오랫동안 연구한 재무설계법과 재테크 노하우가 담겨 있다."
어떻게 회사에서 오래 살아남는가,"회사라는 정글에서 살아남아 정상에 오르기 위한 솔직하고 직설적인 지침서. 세계적인 미국의 항공기 제조기업인 맥도넬 더글러스, 방위 산업체인 제너럴 다이내믹스, 통신업체인 노던 텔레콤 등의 회사에서 30년 동안 산전수전 다 겪은 베테랑 직장인인 저자는 신랄한 어조와 비판적인 눈길로 기업 내에서 정치꾼 같은 경영전략가들이 어떻게 회사를 다스리고 경쟁자들을 제거하는 전략을 펼치는지, 목숨을 내건 게임에서 어떻게 최종 승자가 되는지를 실감나게 파헤치고 대응전략을 제시한다.

저자는 냉혹한 기업세계에서 경영이란 한마디로 ‘먹느냐 먹히느냐’라는 말로 정의할 수 있다고 주장한다. 저자는 이 책에서 최고 임원의 자리에 오르기 위한 직장인들을 위해 그야말로 새롭게 재미있고 때로는 등골이 오싹한 100가지의 생존 전술과 스스로를 방어하여 승진할 수 있는 전투 기술을 직설적으로 소개하고 있다."
미치도록 팔고 싶다,"세일즈여왕이 말하는 과학적이며 감성적인 세일즈 기적들에 대해 말한다. 한마디로 독한 세일즈, 돈 되는 세일즈, 미치도록 팔고 싶은 세일즈 이야기이다. 백년 후에도 변하지 않는 마케팅이 세일즈라고 저자는 말한다. 시장개척부터 사후관리는 물론 고객을 사로잡는 세일즈 프로세스, 6개월 만에 메리케이 핑크그랜저 수상으로 억대연봉 달성이라는 안서현의 놀라운 세일즈 성공스킬이 낱낱이 공개된다."
2020 가족신탁 이론과 실무,"변호사, 법무사, 세무사, 회계사, 노무사 등 자산승계를 둘러싼 다양한 전문가들이 짧은 시간 내에 가족신탁을 설계하여 의뢰인에게 적용할 수 있도록 그 핵심을 다루었다. 자산승계계획의 수립을 염두에 두고 있는 분들이 쉽게 이해하고 활용할 수 있도록 신탁 이론을 비롯한 관련 사례, 법령, 논문 등을 수록하였다. 가족신탁을 가장 보편적으로 사용할 수 있는 계약서와 그에 대한 해설을 제시하여 실무에 바로 활용할 수 있도록 구성하였다."
슈퍼 머니,"이 책의 저자는 개인의 지갑 안에 들어있는 달러 지폐와 미국 내에 존재하는 실질적인 부의 차이를 보여주기 위해 '슈퍼 머니'라는 용어를 만들어냈다. 이 때 실질적인 부는 주식을 통해 얻을 수 있는 수익을 의미한다. 이 책은 '슈퍼 머니'를 바탕으로 세상에 존재하는 부에 대해 설명한다.

저자는 이 세상에는 돈이 없는 사람, 돈을 가진 사람, 슈퍼 머니를 가진 사람의 세 부류가 존재한다고 말한다. 그러면서 부를 창출하기 위해서는 '슈퍼 머니를 가진 사람'이 돼야 한다고 주장한다. 이 책은 현재 세계적인 투자자로 이름을 날리는 워렌 버핏을 세상에 처음 소개한 책이기도 하다."
